id,abstraction,role_stereotype
Preferences,concrete,Structurer
MessagingController,concrete,Controller
DataSet,concrete,Structurer
MessagingController,concrete,Controller
StorageEditor,concrete,Structurer
Transport,abstract,Service Provider
K9ActivityCommon,concrete,Coordinator
MimeMessage,concrete,Coordinator
MessagingController,concrete,Controller
LocalFolder,concrete,Information Holder
Preferences,concrete,Structurer
MessagingController,concrete,Controller
InsertableHtmlContent,concrete,Information Holder
DataSet,concrete,Structurer
BaseAccount,interface,Information Holder
Message,abstract,Structurer
CertificateValidationException,concrete,Information Holder
MimeHeader,concrete,Structurer
SimpleMessageFormat,concrete,Information Holder
NotificationContent,concrete,Information Holder
Store,abstract,Information Holder
Part,interface,Service Provider
MessagingListener,interface,Service Provider
QuotedMessagePresenter,concrete,Structurer
MimeMessage,concrete,Coordinator
MessagingController,concrete,Controller
MessageViewHolder,concrete,Interfacer
LocalSearch,concrete,Structurer
QuotedMessageMvpView,concrete,Interfacer
MessagingException,concrete,Information Holder
Message,abstract,Structurer
FetchProfile,concrete,Structurer
QuotedMessagePresenter,concrete,Structurer
WebDavHandler,concrete,Structurer
MessagingController,concrete,Controller
MessageBuilder,abstract,Service Provider
SettingsImportExportException,concrete,Information Holder
TransportProvider,concrete,Service Provider
Account,concrete,Information Holder
QuotedMessagePresenter,concrete,Structurer
MessageListAdapter,concrete,Interfacer
MessagingController,concrete,Controller
MessageCompose,concrete,Controller
WebDavFolder,concrete,Service Provider
Account,concrete,Information Holder
QuotedMessagePresenter,concrete,Structurer
NotificationContentCreator,concrete,Service Provider
MessagingController,concrete,Controller
Identity,concrete,Information Holder
MessagingException,concrete,Information Holder
FixedLengthInputStream,concrete,Coordinator
QuotedMessagePresenter,concrete,Structurer
MessageHeaderParser,concrete,Service Provider
MessagingController,concrete,Controller
K9AlarmManager,concrete,Coordinator
HttpGeneric,concrete,Information Holder
ImapResponse,concrete,Information Holder
QuotedMessagePresenter,concrete,Structurer
SettingsExporter,concrete,Service Provider
MessagingController,concrete,Controller
Storage,concrete,Structurer
ConnectionInfo,concrete,Information Holder
Account,concrete,Information Holder
QuotedMessagePresenter,concrete,Structurer
WebDavStore,concrete,Information Holder
MessagingController,concrete,Controller
ImapResponseCallback,interface,Service Provider
